,heading
0,0.0
8,0.0
16,0.0
24,0.0
32,0.0
40,0.0
48,0.0
56,0.0
64,0.0
72,0.0
80,0.0
88,0.0
96,0.0
104,0.0
112,0.0
120,0.0
128,0.0
136,0.0
144,0.0
152,0.0
160,0.0
168,0.0
176,0.0
184,0.0
192,0.0
200,0.0
208,0.00022303474543150517
216,0.0011105965822935104
224,0.002046843757852912
232,0.002779832575470209
240,0.0033964987378567453
248,0.003941461443901062
256,0.004440397955477239
264,0.004911169409751892
272,0.005365968216210604
280,0.005812501534819603
288,0.006256026681512593
296,0.0067004584707319745
304,0.007148605305701493
312,0.007602655328810216
320,0.008064299821853638
328,0.008534845896065235
336,0.009015250019729136
344,0.009506311267614365
352,0.010008681565523148
360,0.010522780008614063
368,0.011049000546336174
376,0.011585647240281105
384,0.012129382230341434
392,0.012715579941868782
400,0.01320758368819952
408,0.013919210061430931
416,0.014300139620900152
424,0.014698881655931471
432,0.015133637003600597
440,0.015403470024466516
448,0.015587277710437775
456,0.015681706368923187
464,0.01575624756515026
472,0.01582503505051136
480,0.016391633078455925
488,0.017313385382294655
496,0.01838421262800693
504,0.019503319635987282
512,0.020619086921215057
520,0.021707454696297646
528,0.02275930717587471
536,0.02377363294363022
544,0.024753179401159286
552,0.025702528655529026
560,0.026626599952578545
568,0.027530359104275703
576,0.02841821685433388
584,0.02929413691163063
592,0.030161600559949875
600,0.03102349489927292
608,0.031882412731647485
616,0.032740376889705665
624,0.033599227666854865
632,0.034460414201021194
640,0.035325169563293464
648,0.03619453310966492
656,0.03706970065832138
664,0.03769588470458984
672,0.038131415843963616
680,0.03840690851211548
688,0.03860284015536308
696,0.038793377578258514
704,0.03932439535856247
712,0.04007764160633087
720,0.040959257632493966
728,0.04190898314118385
736,0.042889207601547234
744,0.04387728497385979
752,0.044860199093818665
760,0.04583119973540306
768,0.046787463128566735
776,0.04772847890853882
784,0.04865506291389465
792,0.04956881329417229
800,0.05047165602445602
808,0.05136556178331375
816,0.05225243419408798
824,0.053134117275476456
832,0.054012175649404526
840,0.05488809570670128
848,0.055763132870197296
