,loc_x,loc_y
0,-426.5,30.399999618530273
8,-426.5,30.399999618530273
16,-426.5,30.399999618530273
24,-426.5,30.399999618530273
32,-426.5,30.399999618530273
40,-426.5,30.399999618530273
48,-426.5,30.399999618530273
56,-426.5,30.399999618530273
64,-426.5,30.399999618530273
72,-426.5,30.399999618530273
80,-426.5,30.399999618530273
88,-426.5,30.399999618530273
96,-426.5,30.399999618530273
104,-426.5,30.399999618530273
112,-426.5,30.399999618530273
120,-426.5,30.399999618530273
128,-426.5,30.399999618530273
136,-426.5,30.399999618530273
144,-426.5,30.399999618530273
152,-426.5,30.399999618530273
160,-426.5,30.399999618530273
168,-426.5,30.399999618530273
176,-426.5,30.399999618530273
184,-426.5,30.399999618530273
192,-426.5,30.399999618530273
200,-426.49993896484375,30.399999618530273
208,-426.49066162109375,30.399999618530273
216,-426.469482421875,30.40000343322754
224,-426.43853759765625,30.40001106262207
232,-426.3996276855469,30.4000186920166
240,-426.3539733886719,30.40002822875977
248,-426.302490234375,30.400035858154297
256,-426.2457275390625,30.400043487548828
264,-426.1841735839844,30.40005111694336
272,-426.1180419921875,30.40005874633789
280,-426.0475769042969,30.40006828308105
288,-425.9729309082031,30.400075912475586
296,-425.8941345214844,30.400081634521484
304,-425.8113708496094,30.40009117126465
312,-425.72454833984375,30.400102615356445
320,-425.6339111328125,30.400115966796875
328,-425.5392150878906,30.400131225585934
336,-425.44073486328125,30.400148391723636
344,-425.3384704589844,30.40016365051269
352,-425.2323303222656,30.400177001953125
360,-425.1224060058594,30.40019989013672
368,-425.0086364746094,30.40022087097168
376,-424.89111328125,30.400243759155273
384,-424.76983642578125,30.4002685546875
392,-424.6447448730469,30.40029144287109
400,-424.51605224609375,30.40032196044922
408,-424.3844909667969,30.400352478027344
416,-424.2515258789063,30.40038299560547
424,-424.11669921875,30.40041160583496
432,-423.9795227050781,30.40045166015625
440,-423.8421630859375,30.400487899780273
448,-423.7047424316406,30.400524139404297
456,-423.5675048828125,30.40056037902832
464,-423.4300537109375,30.400596618652344
472,-423.2921752929688,30.400634765625
480,-423.1470642089844,30.400672912597656
488,-422.9949035644531,30.400718688964844
496,-422.8363952636719,30.4007625579834
504,-422.67218017578125,30.40081787109375
512,-422.5025939941406,30.4008731842041
520,-422.3281555175781,30.40093231201172
528,-422.1490173339844,30.400997161865234
536,-421.9654846191406,30.401065826416016
544,-421.7778015136719,30.40114021301269
552,-421.5860900878906,30.401220321655273
560,-421.390380859375,30.401302337646484
568,-421.19091796875,30.401390075683594
576,-420.9877624511719,30.4014835357666
584,-420.7809753417969,30.40157890319824
592,-420.5705261230469,30.40168380737305
600,-420.3565673828125,30.401790618896484
608,-420.13909912109375,30.40190124511719
616,-419.9181518554688,30.40202140808105
624,-419.6937255859375,30.40213966369629
632,-419.4659729003906,30.40226745605469
640,-419.23480224609375,30.40239906311035
648,-419.0002136230469,30.40253829956055
656,-418.7622985839844,30.40267944335937
664,-418.5240478515625,30.40282821655273
672,-418.28558349609375,30.40297508239746
680,-418.0475158691406,30.40312767028809
688,-417.8091735839844,30.40328025817871
696,-417.5702209472656,30.40343475341797
704,-417.32647705078125,30.403594970703125
712,-417.0782470703125,30.403764724731445
720,-416.8258972167969,30.40393447875977
728,-416.5696716308594,30.40411376953125
736,-416.3098449707031,30.404296875
744,-416.0465393066406,30.40448570251465
752,-415.7799987792969,30.404680252075195
760,-415.51019287109375,30.404882431030273
768,-415.2373352050781,30.40509033203125
776,-414.96142578125,30.40530204772949
784,-414.6826171875,30.4055233001709
792,-414.40087890625,30.40575218200684
800,-414.11627197265625,30.40598487854004
808,-413.828857421875,30.40622520446777
816,-413.5386657714844,30.40647315979004
824,-413.2456970214844,30.40673065185547
832,-412.9499816894531,30.4069881439209
840,-412.6515197753906,30.407257080078125
848,-412.350341796875,30.40753173828125
856,-412.0465087890625,30.407814025878906
864,-411.7399597167969,30.40810203552246
872,-411.43072509765625,30.40839958190918
880,-411.1188659667969,30.4087028503418
888,-410.8042907714844,30.409015655517575
896,-410.4870300292969,30.409332275390625
904,-410.1671447753906,30.40966033935547
912,-409.8446044921875,30.409992218017575
920,-409.5193786621094,30.41033363342285
928,-409.1915283203125,30.410680770874023
936,-408.8609924316406,30.41103744506836
944,-408.5278930664063,30.41139793395996
952,-408.1921081542969,30.41177177429199
960,-407.8537292480469,30.412153244018555
968,-407.5126953125,30.412538528442386
976,-407.1701049804688,30.41293716430664
984,-406.8277282714844,30.413333892822266
992,-406.4855346679688,30.41373634338379
1000,-406.1438903808594,30.41414451599121
1008,-405.8029174804688,30.414554595947266
1016,-405.4598083496094,30.41497039794922
1024,-405.1144104003906,30.41539192199707
1032,-404.76763916015625,30.41581916809082
1040,-404.4201354980469,30.41625213623047
1048,-404.0725402832031,30.416683197021484
1056,-403.7250671386719,30.41711807250977
1064,-403.3781433105469,30.417558670043945
1072,-403.0320129394531,30.41799545288086
1080,-402.6867980957031,30.41843414306641
1088,-402.3426513671875,30.418874740600586
1096,-401.9997253417969,30.41931343078613
1104,-401.6581115722656,30.41975021362305
1112,-401.31781005859375,30.42018318176269
1120,-400.9789123535156,30.420612335205078
1128,-400.6415100097656,30.42104339599609
1136,-400.3055725097656,30.42146873474121
1144,-399.97113037109375,30.421894073486328
1152,-399.63800048828125,30.42231369018555
1160,-399.30560302734375,30.4227294921875
1168,-398.9738464355469,30.42314720153809
1176,-398.6427612304688,30.423553466796875
1184,-398.3122863769531,30.42396354675293
1192,-397.98388671875,30.42436981201172
1200,-397.6593933105469,30.424766540527344
1208,-397.33837890625,30.425161361694336
1216,-397.0206298828125,30.4255428314209
1224,-396.705810546875,30.425922393798828
1232,-396.3938293457031,30.42629623413086
1240,-396.08447265625,30.42665863037109
1248,-395.77777099609375,30.42701530456543
1256,-395.4734802246094,30.4273681640625
1264,-395.1716003417969,30.42770957946777
1272,-394.87200927734375,30.42804336547852
1280,-394.5747985839844,30.428375244140625
1288,-394.27978515625,30.42869758605957
1296,-393.9869689941406,30.42901611328125
1304,-393.69635009765625,30.42932319641113
1312,-393.4078674316406,30.429628372192386
1320,-393.12158203125,30.42992782592773
1328,-392.83740234375,30.43022155761719
1336,-392.5552368164063,30.429649353027344
1344,-392.2746887207031,30.42673683166504
1352,-391.9957580566406,30.42048454284668
1360,-391.7185363769531,30.410070419311523
1368,-391.4430847167969,30.394758224487305
1376,-391.16925048828125,30.37407684326172
1384,-390.8966979980469,30.348018646240234
1392,-390.625,30.31651306152344
1400,-390.35394287109375,30.2794189453125
