actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step,time
vehicle.mercedes.coupe_2020,vehicle0,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,0.0
vehicle.audi.a2,vehicle1,0.45079997181892395,0.01036839937198758,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,0.0
vehicle.tesla.model3,vehicle2,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,0.0
vehicle.audi.etron,vehicle3,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,0.0
vehicle.tesla.cybertruck,vehicle4,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,0.0
vehicle.dodge.charger_police,vehicle5,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,0.0
vehicle.ford.mustang,vehicle6,0.45079997181892395,0.01036839937198758,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,0.0
vehicle.audi.tt,vehicle7,0.45079997181892395,0.01036839937198758,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,0.0
vehicle.mercedes.coupe_2020,vehicle0,0.6761999130249023,0.025920997401788826,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,0.023000000044703484
vehicle.audi.a2,vehicle1,0.6761999130249023,0.025920997401788826,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,0.04600000008940697
vehicle.tesla.model3,vehicle2,0.6761999130249023,0.025920997401788826,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,0.06900000013411045
vehicle.audi.etron,vehicle3,0.6761999130249023,0.025920997401788826,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,0.09200000017881393
vehicle.tesla.cybertruck,vehicle4,0.6761999130249023,0.025920997401788826,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,0.11500000022351742
vehicle.dodge.charger_police,vehicle5,0.6761999130249023,0.025920997401788826,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,0.1380000002682209
vehicle.ford.mustang,vehicle6,0.6761999130249023,0.025920997401788826,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,0.16100000031292439
vehicle.audi.tt,vehicle7,0.6761999130249023,0.025920997401788826,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,0.18400000035762787
vehicle.mercedes.coupe_2020,vehicle0,0.9016000032424927,0.04665779751667082,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,0.20700000040233135
